wave	wave_name	coq_code	issue_date	batch	pp_batch	strain	version	supersedes_qccoa	supersedes_coq	tranche	spec_code	param_no	parameter	criterion	state	value	source	cert_code	route
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	4	Assay — Total Δ9-THC	16.20 - 19.79 %	OUTSOURCED	17.22	UKIM_CNP	ППК25104	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	5	Assay — Total CBD	≤ 1.0 %, w/w	OUTSOURCED	0.05	UKIM_CNP	ППК25104	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	6	Total CBN	≤ 1.0 %, w/w	MISSING				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	7	Foreign Matter	≤ 2.0 % / 25–50 g	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	8	Loss on Drying	≤ 12.0 %	OUTSOURCED	7.54	UKIM_CNP	ППК25104	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	9a	TAMC	≤ 10^5 CFU/g	OUTSOURCED	5,1 x 10⁴ CFU/g	IJZ	320/0587/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	9b	TYMC	≤ 10^4 CFU/g	OUTSOURCED	4,2 x 10⁴ CFU/g	IJZ	320/0587/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	9c	Bile-tolerant gram-neg.	≤ 10^4 CFU/g	OUTSOURCED	< 10 CFU/g	IJZ	320/0587/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	9d	Salmonella	Absence / 25 g	OUTSOURCED	Одговара	IJZ	320/0587/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	9e	Escherichia coli	Absence / 1 g	OUTSOURCED	Одговара	IJZ	320/0587/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	10a	Aflatoxin B1	≤ 2 µg/kg	NOT TESTED				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	10b	Aflatoxins ∑ (B1+B2+G1+G2)	≤ 4 µg/kg	OUTSOURCED	< 2	IJZ	1766/2025	
